Freq (hertz)	SPL (dB)	WPhase (deg)
6894.60 	104.94  	46.16   
6993.92 	104.92  	27.30   
7094.66 	104.94  	8.07    
7196.86 	104.94  	-11.66  
7300.52 	104.92  	-31.69  
7405.68 	104.90  	-51.80  
7512.36 	104.92  	-72.07  
7620.57 	104.96  	-92.80  
7730.34 	104.97  	-114.01 
7841.69 	104.95  	-135.40 
7954.65 	104.93  	-156.86 
8069.23 	104.94  	-178.69 
8185.47 	104.94  	158.94  
8303.38 	104.92  	136.27  
8422.98 	104.91  	113.49  
8544.31 	104.95  	90.35   
8667.39 	104.97  	66.64   
8792.24 	104.95  	42.64   
8918.88 	104.93  	18.57   
9047.36 	104.94  	-5.88   
9177.68 	104.94  	-30.91  
9309.88 	104.92  	-56.22  
9443.98 	104.93  	-81.75  
9580.02 	104.96  	-107.82 
9718.02 	104.96  	-134.39 
9858.00 	104.93  	-161.06 
10000.00	104.94  	171.97  
10144.05	104.94  	144.38  
10290.17	104.92  	116.44  
10438.39	104.94  	88.20   
10588.75	104.97  	59.33   
10741.28	104.95  	30.07   
10896.00	104.93  	0.70    
11052.95	104.94  	-29.22  
11212.16	104.93  	-59.68  
11373.67	104.94  	-90.46  
11537.50	104.97  	-121.86 
11703.69	104.95  	-153.74 
11872.28	104.93  	174.26  
12043.30	104.94  	141.67  
12216.77	104.93  	108.52  
12392.75	104.95  	74.96   
12571.26	104.96  	40.69   
12752.35	104.93  	6.14    
12936.04	104.94  	-28.74  
13122.37	104.94  	-64.33  
13311.40	104.94  	-100.37 
13503.14	104.96  	-137.12 
13697.65	104.94  	-174.29 
13894.95	104.94  	148.26  
14095.11	104.94  	110.06  
14298.14	104.95  	71.35   
14504.10	104.96  	31.87   
14713.02	104.93  	-7.96   
14924.96	104.94  	-48.23  
15139.94	104.94  	-89.25  
15358.03	104.96  	-130.90 
15579.25	104.94  	-173.26 
15803.66	104.94  	144.13  
16031.31	104.94  	100.73  
16262.23	104.95  	56.68   
16496.48	104.95  	11.82   
16734.10	104.93  	-33.34  
16975.15	104.95  	-79.27  
17219.67	104.95  	-125.90 
17467.71	104.95  	-173.38 
17719.33	104.94  	138.80  
17974.56	104.95  	90.16   
18233.48	104.95  	40.77   
18496.12	104.94  	-9.45   
18762.55	104.94  	-60.07  
19032.82	104.95  	-111.61 
19306.98	104.95  	-163.98 
19585.09	104.93  	143.04  
19867.20	104.95  	89.32   
20000.00	104.95  	64.00   
