Freq (hertz)	SPL (dB)	WPhase (deg)
 1471.30	   78.49	   17.48
 1492.50	   78.13	   12.72
 1513.99	   77.76	    8.00
 1535.80	   77.38	    3.35
 1557.93	   77.00	   -1.21
 1580.37	   76.62	   -5.68
 1603.13	   76.24	  -10.06
 1626.22	   75.87	  -14.35
 1649.65	   75.52	  -18.57
 1673.41	   75.17	  -22.75
 1697.52	   74.85	  -26.92
 1721.97	   74.54	  -31.11
 1746.77	   74.26	  -35.35
 1771.93	   73.98	  -39.68
 1797.46	   73.73	  -44.12
 1823.35	   73.48	  -48.71
 1849.61	   73.23	  -53.47
 1876.26	   72.98	  -58.40
 1903.28	   72.73	  -63.49
 1930.70	   72.46	  -68.74
 1958.51	   72.17	  -74.13
 1986.72	   71.86	  -79.60
 2015.34	   71.52	  -85.13
 2044.37	   71.16	  -90.66
 2073.82	   70.78	  -96.17
 2103.69	   70.40	 -101.62
 2133.99	   70.00	 -107.02
 2164.73	   69.60	 -112.37
 2195.91	   69.22	 -117.68
 2227.54	   68.84	 -122.99
 2259.63	   68.48	 -128.34
 2292.18	   68.13	 -133.78
 2325.20	   67.81	 -139.36
 2358.69	   67.49	 -145.12
 2392.67	   67.18	 -151.08
 2427.13	   66.87	 -157.26
 2462.09	   66.55	 -163.64
 2497.56	   66.21	 -170.18
 2533.53	   65.86	 -176.83
 2570.03	   65.49	  176.47
 2607.05	   65.10	  169.78
 2644.60	   64.70	  163.16
 2682.70	   64.30	  156.62
 2721.34	   63.91	  150.15
 2760.54	   63.54	  143.73
 2800.30	   63.20	  137.30
 2840.64	   62.87	  130.79
 2881.56	   62.57	  124.14
 2923.07	   62.28	  117.30
 2965.17	   61.99	  110.23
 3007.88	   61.69	  102.93
 3051.21	   61.37	   95.43
 3095.16	   61.03	   87.80
 3139.75	   60.65	   80.11
 3184.97	   60.26	   72.42
 3230.85	   59.85	   64.76
 3277.39	   59.45	   57.15
 3324.60	   59.05	   49.53
 3372.49	   58.67	   41.85
 3421.07	   58.31	   34.01
 3470.35	   57.97	   25.94
 3520.33	   57.63	   17.61
 3571.04	   57.28	    9.02
 3622.48	   56.92	    0.22
 3674.66	   56.53	   -8.68
 3727.59	   56.13	  -17.60
 3781.29	   55.71	  -26.46
 3835.76	   55.31	  -35.25
 3891.01	   54.93	  -44.02
 3947.06	   54.58	  -52.87
 4003.91	   54.26	  -61.91
 4061.59	   53.95	  -71.21
 4120.09	   53.63	  -80.80
 4179.44	   53.29	  -90.64
 4239.64	   52.93	 -100.64
 4300.71	   52.53	 -110.69
 4362.66	   52.13	 -120.73
 4425.50	   51.72	 -130.78
 4489.25	   51.34	 -140.91
 4553.92	   50.97	 -151.25
 4619.51	   50.62	 -161.89
 4686.06	   50.26	 -172.85
 4753.56	   49.87	  175.95
 4822.03	   49.46	  164.65
 4891.49	   49.05	  153.37
 4961.95	   48.64	  142.15
 5033.42	   48.26	  130.91
 5105.93	   47.91	  119.50
 5179.47	   47.58	  107.79
 5254.08	   47.25	   95.73
 5329.77	   46.89	   83.38
 5406.54	   46.50	   70.90
 5484.42	   46.09	   58.39
 5563.42	   45.68	   45.84
 5643.56	   45.30	   33.12
 5724.85	   44.94	   20.08
 5807.31	   44.57	    6.68
 5890.96	   44.18	   -7.00
 5975.82	   43.76	  -20.75
 6061.90	   43.35	  -34.46
 6149.22	   42.97	  -48.17
 6237.79	   42.62	  -62.07
 6327.65	   42.29	  -76.35
 6418.79	   41.95	  -91.02
 6511.25	   41.58	 -105.93
 6605.04	   41.18	 -120.93
 6700.19	   40.79	 -136.00
 6796.70	   40.42	 -151.32
 6894.60	   40.07	 -167.03
 6993.92	   39.70	  176.90
 7094.66	   39.30	  160.68
 7196.86	   38.91	  144.51
 7300.52	   38.56	  128.29
 7405.68	   38.24	  111.77
 7512.36	   37.92	   94.79
 7620.57	   37.58	   77.46
 7730.34	   37.21	   59.98
 7841.69	   36.84	   42.37
 7954.65	   36.50	   24.44
 8069.23	   36.15	    6.06
 8185.47	   35.77	  -12.60
 8303.38	   35.38	  -31.26
 8422.98	   35.02	  -49.94
 8544.31	   34.70	  -68.96
 8667.39	   34.37	  -88.47
 8792.24	   34.01	 -108.33
 8918.88	   33.64	 -128.33
 9047.36	   33.28	 -148.61
 9177.68	   32.93	 -169.38
 9309.88	   32.55	  169.51
 9443.98	   32.15	  148.40
 9580.02	   31.79	  127.19
